nohup: ignoring input
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:171: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
Using device: cuda:0
Loading data...
Classes: ['browsing', 'chat', 'email', 'ftp', 'p2p', 'streaming', 'voip']
Train samples: 13281, Val: 1383, Test: 1384
Number of classes: 7

Training MobileNetV2
  Parameters: 2.23M (trainable: 2.23M)
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:115: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Epoch 50/50: Loss=0.4487, Train Acc=99.97%, Val Acc=97.90%
  Best Val Acc: 98.26%, Test Acc: 96.97%
  Training Time: 3.8 minutes

Training GhostNet
  Parameters: 3.91M (trainable: 3.91M)
  Epoch 1/50: Loss=1.0692, Train Acc=70.83%, Val Acc=78.67%
  Epoch 2/50: Loss=0.8428, Train Acc=81.87%, Val Acc=82.50%
  Epoch 3/50: Loss=0.7852, Train Acc=84.61%, Val Acc=86.77%
  Epoch 4/50: Loss=0.7302, Train Acc=87.37%, Val Acc=88.07%
  Epoch 5/50: Loss=0.6764, Train Acc=90.44%, Val Acc=88.00%
  Epoch 6/50: Loss=0.6420, Train Acc=91.97%, Val Acc=92.41%
  Epoch 7/50: Loss=0.6109, Train Acc=93.40%, Val Acc=93.42%
  Epoch 8/50: Loss=0.5812, Train Acc=94.52%, Val Acc=94.87%
  Epoch 9/50: Loss=0.5719, Train Acc=95.19%, Val Acc=93.64%
  Epoch 10/50: Loss=0.5587, Train Acc=95.69%, Val Acc=94.79%
  Epoch 11/50: Loss=0.5337, Train Acc=96.93%, Val Acc=96.02%
  Epoch 12/50: Loss=0.5268, Train Acc=96.88%, Val Acc=95.59%
  Epoch 13/50: Loss=0.5295, Train Acc=97.00%, Val Acc=91.47%
  Epoch 14/50: Loss=0.5201, Train Acc=97.33%, Val Acc=96.53%
  Epoch 15/50: Loss=0.5115, Train Acc=97.58%, Val Acc=96.75%
  Epoch 16/50: Loss=0.4998, Train Acc=98.15%, Val Acc=96.67%
  Epoch 17/50: Loss=0.5022, Train Acc=98.09%, Val Acc=96.67%
  Epoch 18/50: Loss=0.5046, Train Acc=97.90%, Val Acc=96.67%
  Epoch 19/50: Loss=0.4916, Train Acc=98.40%, Val Acc=97.18%
  Epoch 20/50: Loss=0.4861, Train Acc=98.58%, Val Acc=96.82%
  Epoch 21/50: Loss=0.4856, Train Acc=98.59%, Val Acc=97.54%
  Epoch 22/50: Loss=0.4820, Train Acc=98.80%, Val Acc=97.32%
  Epoch 23/50: Loss=0.4867, Train Acc=98.52%, Val Acc=97.40%
  Epoch 24/50: Loss=0.4780, Train Acc=98.92%, Val Acc=97.40%
  Epoch 25/50: Loss=0.4801, Train Acc=98.88%, Val Acc=97.32%
  Epoch 26/50: Loss=0.4771, Train Acc=98.99%, Val Acc=97.11%
  Epoch 27/50: Loss=0.4698, Train Acc=99.28%, Val Acc=97.90%
  Epoch 28/50: Loss=0.4666, Train Acc=99.39%, Val Acc=98.05%
  Epoch 29/50: Loss=0.4659, Train Acc=99.44%, Val Acc=97.76%
  Epoch 30/50: Loss=0.4622, Train Acc=99.59%, Val Acc=97.98%
  Epoch 31/50: Loss=0.4597, Train Acc=99.65%, Val Acc=97.90%
  Epoch 32/50: Loss=0.4597, Train Acc=99.65%, Val Acc=97.98%
  Epoch 33/50: Loss=0.4588, Train Acc=99.66%, Val Acc=98.26%
  Epoch 34/50: Loss=0.4581, Train Acc=99.67%, Val Acc=98.26%
  Epoch 35/50: Loss=0.4580, Train Acc=99.66%, Val Acc=98.05%
  Epoch 36/50: Loss=0.4565, Train Acc=99.74%, Val Acc=97.98%
  Epoch 37/50: Loss=0.4553, Train Acc=99.77%, Val Acc=98.19%
  Epoch 38/50: Loss=0.4547, Train Acc=99.78%, Val Acc=98.12%
  Epoch 39/50: Loss=0.4541, Train Acc=99.80%, Val Acc=98.12%
  Epoch 40/50: Loss=0.4542, Train Acc=99.80%, Val Acc=98.34%
  Epoch 41/50: Loss=0.4535, Train Acc=99.82%, Val Acc=98.41%
  Epoch 42/50: Loss=0.4527, Train Acc=99.86%, Val Acc=98.34%
  Epoch 43/50: Loss=0.4524, Train Acc=99.89%, Val Acc=98.34%
  Epoch 44/50: Loss=0.4519, Train Acc=99.91%, Val Acc=98.34%
  Epoch 45/50: Loss=0.4515, Train Acc=99.92%, Val Acc=98.26%
  Epoch 46/50: Loss=0.4514, Train Acc=99.92%, Val Acc=98.34%
  Epoch 47/50: Loss=0.4512, Train Acc=99.93%, Val Acc=98.34%
  Epoch 48/50: Loss=0.4509, Train Acc=99.93%, Val Acc=98.41%
  Epoch 49/50: Loss=0.4513, Train Acc=99.93%, Val Acc=98.26%
  Epoch 50/50: Loss=0.4511, Train Acc=99.95%, Val Acc=98.34%
  Best Val Acc: 98.41%, Test Acc: 97.11%
  Training Time: 5.5 minutes

Training EfficientNet-Lite0
  Parameters: 3.38M (trainable: 3.38M)
  Epoch 1/50: Loss=2.0576, Train Acc=55.21%, Val Acc=72.09%
  Epoch 2/50: Loss=1.0100, Train Acc=75.80%, Val Acc=81.49%
  Epoch 3/50: Loss=0.8364, Train Acc=83.19%, Val Acc=89.15%
  Epoch 4/50: Loss=0.7631, Train Acc=87.22%, Val Acc=91.54%
  Epoch 5/50: Loss=0.6909, Train Acc=90.53%, Val Acc=92.84%
  Epoch 6/50: Loss=0.6417, Train Acc=92.87%, Val Acc=93.85%
  Epoch 7/50: Loss=0.5901, Train Acc=95.21%, Val Acc=94.14%
  Epoch 8/50: Loss=0.5685, Train Acc=96.20%, Val Acc=95.37%
  Epoch 9/50: Loss=0.5550, Train Acc=96.82%, Val Acc=92.12%
  Epoch 10/50: Loss=0.5336, Train Acc=97.44%, Val Acc=95.73%
  Epoch 11/50: Loss=0.5368, Train Acc=97.16%, Val Acc=95.95%
  Epoch 12/50: Loss=0.5136, Train Acc=98.03%, Val Acc=96.67%
  Epoch 13/50: Loss=0.5117, Train Acc=98.13%, Val Acc=96.46%
  Epoch 14/50: Loss=0.5131, Train Acc=98.18%, Val Acc=96.53%
  Epoch 15/50: Loss=0.5093, Train Acc=97.95%, Val Acc=96.89%
  Epoch 16/50: Loss=0.5011, Train Acc=98.40%, Val Acc=96.67%
  Epoch 17/50: Loss=0.4986, Train Acc=98.42%, Val Acc=96.53%
  Epoch 18/50: Loss=0.4943, Train Acc=98.52%, Val Acc=96.96%
  Epoch 19/50: Loss=0.4922, Train Acc=98.43%, Val Acc=96.17%
